glyb[e];cpd00540
glyclt[e];cpd00139
h2o[e];cpd00001
hdca[e];cpd00214
hxa[e];cpd01113
h[e];cpd00067
ile_L[e];cpd00322
leu_L[e];cpd00107
lac_L[e];cpd00159
mal_L[e];cpd00130
met_L[e];cpd00060
nac[p];cpd00218
nac[e];cpd00218
nh4[e];cpd00013
no2[e];cpd00075
o2[p];cpd00007
octa[e];cpd03846
orn[e];cpd00064
phe_L[e];cpd00066
pi[e];cpd00009
ppa[p];cpd00141
ppa[e];cpd00141
ptrc[e];cpd00118
rib_D[e];cpd00105
ser_L[e];cpd00054
spmd[e];cpd00264
succ[e];cpd00036
T4hcinnm[e];cpd00604
T4hcinnm[p];cpd00604
thr_L[e];cpd00161
tol[p];cpd01034
tol[e];cpd01034
tsul[e];cpd00268
ttdca[e];cpd03847
val_L[e];cpd00156
o2[e];cpd00007
cym[e];cpd03982
cym[p];cpd03982
bzne[e];cpd01007
bzne[p];cpd01007
ebzne[e];cpd04136
ebzne[p];cpd04136
cum[e];cpd03985
cum[p];cpd03985
vanln[e];cpd00561
vanlt[e];cpd04073
h2[e];cpd11640
h2[p];cpd11640
phea[e];cpd01033
phea[p];cpd01033
phea[c];cpd01033
phacoa[c];cpd00452
edhacoa[c];cpd21214
o2yacoa[c];cpd21214
o5dhsa[c];cpd16740
o5dsc[c];cpd21184
d2hacoa[c];cpd02068
tdpglc[c];cpd00626
tdpdglp[c];cpd00521
tdp4dr[c];cpd00521
tdprha[c];cpd02036
HAA[c] ;cpd27526
rham[c];cpd27526
rham[e];cpd27526
rham[p];cpd27526
ichor[c] ;cpd00658
23ddhb[c];cpd02566
23dhb[c];cpd00168
no3[c];cpd00209
no3[p];cpd00209
no3[e];cpd00209
glycogen[c];cpd00155
maltri[c];cpd00382
aglucn[c];cpd01916
adpglc[c];cpd00387
algn[e];cpd11949
algn[p];cpd11949
algn[c];cpd11949
ols[c];cpd02663
2dh3dgl[c];cpd02441
man1p[c];cpd00485
man6p[c];cpd00235
gdpman[c];cpd00083
gdpddm[c];cpd00900
gdpmannu[c];cpd00719
mannu[c];cpd01735
fruct_D[e];cpd00672
fruct_D[p];cpd00672
fruct_D[c];cpd00672
mann_D[c];cpd00222
4hbzoil[c];cpd16876
4hpacth[c];cpd00430
allgal[c];cpd00164
gpt[c];cpd00164
gal1p[c];cpd00348
udpgal[c];cpd00043
udpglut[c];cpd00144
adgal[c];cpd00164
algalt[c];cpd00222
ga14l[c];cpd00820
ascb[c];cpd00059
gal[c];cpd26818
gal1lac[c];cpd02143
galt[c];cpd00653
d3dgal[c];cpd00894
d3dg6p[c];cpd00945
gal[p];cpd26818
gal[e];cpd26818
meOH[c];cpd00116
mesa[c];cpd09077
