Formula
cpd00448  <=> cpd00448 
cpd00002 + cpd00001 + cpd00540  -> cpd00067 + cpd00008 + cpd00009 + cpd00540 
cpd00002 + cpd00223  -> cpd00067 + cpd00008 + cpd00169 
cpd00003 + cpd00087 + cpd00033  -> cpd00011 + cpd00004 + cpd00013 + cpd00125 
cpd00067 + cpd00139  <=> cpd00067 + cpd00139 
cpd00011 + cpd00004 + cpd00013 + cpd00125  -> cpd00003 + cpd00087 + cpd00033 
cpd00007 + cpd00139  -> cpd00025 + cpd00040 
cpd00100  <=> cpd00100 
cpd00100  <=> cpd00100 
cpd00067 + cpd00004 + cpd00145  <=> cpd00003 + cpd00223 
cpd00002 + cpd00100  -> cpd00067 + cpd00008 + cpd00080 
cpd00002 + cpd00033 + cpd11913  -> cpd00018 + cpd00012 + cpd12100 
cpd00002 + cpd00001 + cpd00033  <=> cpd00067 + cpd00008 + cpd00009 + cpd00033 
cpd00033  <=> cpd00033 
cpd00002 + cpd00001 + cpd00053 + cpd00497  -> 2 cpd00067 + cpd00018 + cpd00012 + cpd00023 + cpd00126 
cpd00006 + cpd00284  -> cpd00005 + cpd00011 + cpd00171 
cpd00002 + cpd00222  -> cpd00067 + cpd00008 + cpd00284 
cpd00113 + cpd00283  -> cpd00012 + cpd00350 
cpd00067 + cpd00005 + cpd00111  -> cpd00006 + 2 cpd00042 
cpd00025 + 2 cpd00042  <=> 2 cpd00001 + cpd00111 
cpd00002 + cpd00033 + cpd00506  -> cpd00067 + cpd00008 + cpd00009 + cpd00042 
cpd00001 + cpd00038  -> cpd00067 + cpd00047 + cpd02978 
3 cpd00001 + cpd00038  -> 2 cpd00067 + cpd00012 + cpd00047 + cpd00957 
cpd00001 + cpd02740  <=> cpd00067 + cpd00009 + cpd00905 
cpd00002 + cpd00038  -> cpd00067 + cpd00018 + cpd02740 
cpd00067 + cpd00001 + cpd00207  -> cpd00013 + cpd00309 
cpd00103 + cpd00207  -> cpd00012 + cpd00126 
cpd00011 + cpd00001  <=> cpd00242 
cpd00003 + cpd00842  -> cpd00067 + cpd00004 + cpd00279 
cpd00003 + cpd03122  -> cpd00067 + cpd00004 + cpd03123 
cpd00003 + cpd03120  -> cpd00067 + cpd00004 + cpd03121 
cpd00003 + cpd03118  -> cpd00067 + cpd00004 + cpd03119 
cpd00003 + cpd03116  -> cpd00067 + cpd00004 + cpd03117 
cpd00003 + cpd03115  -> cpd00067 + cpd00004 + cpd12689 
cpd00003 + cpd03113  -> cpd00067 + cpd00004 + cpd03114 
cpd09844  -> cpd01507 + cpd11640 
cpd00001 + cpd00028 + cpd00350  -> cpd00012 + cpd11313 
cpd00002 + cpd00027  -> cpd00067 + cpd00008 + cpd00079 
cpd00007 + cpd00426  -> cpd00067 + cpd00763 
cpd00003 + cpd00876  -> cpd00067 + cpd00004 + cpd19044 
cpd00119  -> cpd00013 + cpd00581 
cpd00001 + 2 cpd00003 + cpd00641  -> 3 cpd00067 + 2 cpd00004 + cpd00119 
cpd00001 + cpd00807  -> cpd00009 + cpd00641 
cpd00002 + cpd00119 + cpd11914  -> cpd00018 + cpd00012 + cpd12228 
cpd00002 + cpd00001 + cpd00119  -> cpd00067 + cpd00008 + cpd00009 + cpd00119 
cpd00119  <=> cpd00119 
cpd00001 + 4 cpd00689  -> 4 cpd00013 + cpd00755 
cpd00292  -> cpd00022 + cpd00142 
cpd00002 + cpd00939  -> cpd00067 + cpd00008 + cpd02775 
cpd00002 + cpd00954  -> cpd00067 + cpd00018 + cpd02920 
cpd00145  <=> cpd00145 
cpd00003 + cpd00227  <=> cpd00067 + cpd00004 + cpd00346 
cpd00022 + cpd00227  <=> cpd00010 + cpd00790 
cpd00002 + cpd00227  -> cpd00067 + cpd00008 + cpd00809 
cpd00023 + cpd00930  <=> cpd00024 + cpd00807 
cpd00001 + cpd00003 + cpd00226  -> cpd00067 + cpd00004 + cpd00309 
cpd00103 + cpd00226  -> cpd00012 + cpd00114 
cpd00006 + cpd00260  <=> cpd00005 + cpd00011 + cpd00024 
cpd00067 + cpd00260  <=> cpd00067 + cpd00260 
cpd00260  <=> cpd00260 
cpd00260  -> cpd00036 + cpd00040 
cpd00053 + cpd02991  -> cpd00067 + cpd00023 + cpd02851 + cpd02843 
cpd02843  -> cpd00001 + cpd00930 
cpd00067 + cpd00956  -> cpd00011 + cpd00001 + cpd02210 
cpd00024 + cpd00322  <=> cpd00023 + cpd00508 
cpd00002 + cpd00322 + cpd11915  -> cpd00018 + cpd00012 + cpd12256 
cpd00002 + cpd00001 + cpd00322  -> cpd00067 + cpd00008 + cpd00009 + cpd00322 
cpd00001 + cpd00114  <=> cpd02884 
cpd00001 + cpd00003 + cpd00114  <=> cpd00067 + cpd00004 + cpd00497 
cpd00001 + cpd00246  -> cpd00105 + cpd00226 
cpd00113  <=> cpd00202 
cpd00067 + cpd00004 + cpd08615  -> cpd00001 + cpd00003 + cpd00113 
cpd00003 + cpd02693  <=> cpd00067 + cpd00004 + cpd02605 
cpd02693  <=> cpd00001 + cpd01710 
cpd00001 + cpd01710  <=> cpd01646 
cpd00001 + cpd00022 + cpd00123  -> cpd00067 + cpd00010 + cpd01646 
cpd00002 + cpd00001 + cpd03048  -> cpd00067 + cpd00008 + cpd00009 + cpd03048 
cpd03048  <=> cpd03048 
